name,dept,affiliation
Ma. Angelica Capuz,Computer Technology Department,De La Salle University
Selwyn Emerson Reyes,Computer Technology Department,De La Salle University
Lorraine Policarpio,Computer Technology Department,De La Salle University
Brylle Joseph Quinto,Computer Technology Department,De La Salle University
Reinald Kim Amplayo,,Ateneo de Davao University
Jason Occidental,,Ateneo de Davao University
Rex P. Bringula,,University of the East
Roselle S. Basa,,University of the East
Cecilio Dela Cruz,,University of the East
Emmanuel Jon A. Magdaluyo,Department of Information Systems and Computer Science,Ateneo de Manila University
Miguel Paolo A. Maglaque,Department of Information Systems and Computer Science,Ateneo de Manila University
Geronimo Miguel M. Mantes,Department of Information Systems and Computer Science,Ateneo de Manila University
Earl Jay F. Ledesma,Institute of Computer Science,University of the Philippines - Los Baños
Marie Yvette B. de Robles,Institute of Computer Science,University of the Philippines - Los Baños
Emilio Angelo D. Alindogan,,Technological Institute of the Philippines
Jerry Y. Hom,,Technological Institute of the Philippines
Febrev F. Dela Cruz,,Technological Institute of the Philippines
Melissa P. Juanillo,,Technological Institute of the Philippines
Ma. Christina R. Aragon,,Technological Institute of the Philippines
Mark Lorenz F. Eustaquio,,Technological Institute of the Philippines
Allain Paolo Hiya,,National University
Sony Renz Manalo,,National University
Manolito Octaviano Jr.,,National University
Ryan Christopher Pinca,,National University
Krystel Arriane A. Cortez,Institute of Computer Science,University of the Philippines - Los Baños
Katrina Joy H. Magno,Institute of Computer Science,University of the Philippines - Los Baños
Aaron Spencer K. Ngo,Computer Technology Department,De La Salle University
John Darill B. Desingco,Computer Technology Department,De La Salle University
Macario O. Cordel II,Computer Technology Department,De La Salle University
Prane Mariel B. Ong,Computer Technology Department,De La Salle University
Eric Camilo R. Punzalan,Computer Technology Department,De La Salle University
Joel P. Ilao,Computer Technology Department,De La Salle University
Rachel Anne G. Concepcion,Institute of Mathematics,University of the Philippines - Diliman
Tita R. Herradura,College of Science and Computer Studies,De La Salle University - Dasmariñas
Merlin Teodosia C. Suarez,Software Technology Department,De La Salle University
Raymund E. Dilan,,University of the Cordilleras
Cecilia A. Mercado,,Saint Louis University
Wilben Christie R. Pagtaconan,,Mariano Marcos State University
Josephine S. Dela Cruz,,University of the Cordilleras
Teresita Paccarangan,,Philippine Science High School
Jessie Brian Unabia Revil,,Ateneo de Davao University
Mark Allen Secreto Saclot,,Ateneo de Davao University
Alexis Pantola,Computer Technology Department,De La Salle University
Deanne Erika Buena,Computer Technology Department,De La Salle University
Clarissa Mae Garcia,Computer Technology Department,De La Salle University
Celine Villafuerte,Computer Technology Department,De La Salle University
Allison Mae Yu,Computer Technology Department,De La Salle University
