paperID,author1,author2
68,Karl Joseph Centillo,Jian Michael Wu
68,Karl Joseph Centillo,Jocelynn Cu
68,John Raymound Lemuel Javier,Catherine Mae Peña
68,John Raymound Lemuel Javier,Jian Michael Wu
68,John Raymound Lemuel Javier,Jocelynn Cu
68,Catherine Mae Peña,Jian Michael Wu
68,Catherine Mae Peña,Jocelynn Cu
68,Jian Michael Wu,Jocelynn Cu
69,Z. E. L. Arcega,M. T. Malit
69,Z. E. L. Arcega,J. L. Agapito
69,M. T. Malit,J. L. Agapito
70,Vincent Paul L. Carpio,Katrina Joy M. Abriol-Santos
70,Vincent Paul L. Carpio,Joseph Anthony C. Hermocilla
70,Katrina Joy M. Abriol-Santos,Joseph Anthony C. Hermocilla
72,Joel M. Addawe,Pierangela C. Gabriel
73,Nathalie Rose Lim-Cheng,Jonathan Yiu
74,Christoffer F. Kho,Gian T. Salay
74,Christoffer F. Kho,Marlene M. De Leon
74,Gian T. Salay,Marlene M. De Leon
75,Kristine Mae M. Adlaon,Charibeth Cheng
75,Kristine Mae M. Adlaon,Maristella Aquino
75,Kristine Mae M. Adlaon,Ervin Fernandez
75,Kristine Mae M. Adlaon,Kevin Villanueva
75,Charibeth Cheng,Maristella Aquino
75,Charibeth Cheng,Ervin Fernandez
75,Charibeth Cheng,Kevin Villanueva
75,Maristella Aquino,Ervin Fernandez
75,Maristella Aquino,Kevin Villanueva
75,Ervin Fernandez,Kevin Villanueva
76,Ivy Ordanel,Henry N. Adorna
77,Angelica H. Dela Cruz,Maria Cristina P. Co
77,Angelica H. Dela Cruz,Adrian Martin S. Sy
77,Angelica H. Dela Cruz,Nathaniel Oco
77,Angelica H. Dela Cruz,Rachel Edita Roxas
77,Maria Cristina P. Co,Adrian Martin S. Sy
77,Maria Cristina P. Co,Nathaniel Oco
77,Maria Cristina P. Co,Rachel Edita Roxas
77,Adrian Martin S. Sy,Nathaniel Oco
77,Adrian Martin S. Sy,Rachel Edita Roxas
77,Nathaniel Oco,Rachel Edita Roxas
78,Jhoirene B. Clemente,Henry N. Adorna
79,Louie Lester E. Pascual,John Dinnex M. Valeros
79,Louie Lester E. Pascual,Al Jamil L. Arazas
79,Louie Lester E. Pascual,Allan A. Sioson
79,John Dinnex M. Valeros,Al Jamil L. Arazas
79,John Dinnex M. Valeros,Allan A. Sioson
79,Al Jamil L. Arazas,Allan A. Sioson
80,Briane Paul V. Samson,Cymon Nicollo P. Marcaida
80,Briane Paul V. Samson,Eloisa Anne B. Gervasio
80,Briane Paul V. Samson,Ravi D. Militar
80,Briane Paul V. Samson,Jerome Ibanez
80,Cymon Nicollo P. Marcaida,Eloisa Anne B. Gervasio
80,Cymon Nicollo P. Marcaida,Ravi D. Militar
80,Cymon Nicollo P. Marcaida,Jerome Ibanez
80,Eloisa Anne B. Gervasio,Ravi D. Militar
80,Eloisa Anne B. Gervasio,Jerome Ibanez
80,Ravi D. Militar,Jerome Ibanez
81,R.W. Gardon,Kardi Teknomo
82,April Gale V. Guevara,Miguel Adrian C. Domingo
82,April Gale V. Guevara,William Emmanuel S. Yu
82,Miguel Adrian C. Domingo,William Emmanuel S. Yu
83,Marvin Joseph R. Occeño,Richard Bryann L. Chua
84,Jan Renard L. Calalang,Kevin C. Henson
84,Jan Renard L. Calalang,Benjamin Ryan B. Mendoza
84,Kevin C. Henson,Benjamin Ryan B. Mendoza
85,Joseph J. Bautista,Proceso  Fernandez Jr.
86,Javier Teodoro Flavier,Patricia Angela Abu
87,Val Randolf M. Madrid,Maricor N. Soriano
87,Val Randolf M. Madrid,Eliezer A. Albacea
87,Maricor N. Soriano,Eliezer A. Albacea
88,Maria Art Antonette Clariño,Eliezer A. Albacea
89,Nicole Marie T. Del Rosario,Marrick C. Neri
90,Jacob Chan,Paolo Gonzalez
90,Jacob Chan,Ella Mara Melanie Perez
90,Paolo Gonzalez,Ella Mara Melanie Perez
91,Glen Charles Lopez,Jun Rangie Obispo
91,Glen Charles Lopez,Mark Joseph Ronquillo
91,Jun Rangie Obispo,Mark Joseph Ronquillo
92,Lemuel Clark P. Velasco,Prinz Nikko C. Palahang
92,Lemuel Clark P. Velasco,Christelle R. Villezas
92,Lemuel Clark P. Velasco,Jerald Aldin A. Dagaang
92,Prinz Nikko C. Palahang,Christelle R. Villezas
92,Prinz Nikko C. Palahang,Jerald Aldin A. Dagaang
92,Christelle R. Villezas,Jerald Aldin A. Dagaang
93,Larry Vea,Ma. Mercedes T. Rodrigo
94,Isabel M. Constantino,Pia Melissa M. Encarnacion
94,Isabel M. Constantino,Chiara Veronica D. Señires
94,Isabel M. Constantino,Andrei D. Coronel
94,Pia Melissa M. Encarnacion,Chiara Veronica D. Señires
94,Pia Melissa M. Encarnacion,Andrei D. Coronel
94,Chiara Veronica D. Señires,Andrei D. Coronel
95,Nathalie Rose Lim-Cheng,Emmanuel Asuncion Jr.
95,Nathalie Rose Lim-Cheng,Aaron Jan Baldomar
95,Nathalie Rose Lim-Cheng,William James Custodio
95,Nathalie Rose Lim-Cheng,Yun Sup Lee
95,Emmanuel Asuncion Jr.,Aaron Jan Baldomar
95,Emmanuel Asuncion Jr.,William James Custodio
95,Emmanuel Asuncion Jr.,Yun Sup Lee
95,Aaron Jan Baldomar,William James Custodio
