paperID,author1,author2,affiliation1,affiliation2,location,year
44,Art Maco T. Del Rosario,Carlo Marco S. Ortiz,New Era University,New Era University,local,2018
44,John Carlo R. Gonzales,Marc Angelo P. Martinez,New Era University,New Era University,local,2018
44,John Carlo R. Gonzales,Carlo Marco S. Ortiz,New Era University,New Era University,local,2018
44,Marc Angelo P. Martinez,Carlo Marco S. Ortiz,New Era University,New Era University,local,2018
45,Ren Tristan dela Cruz,Zechariah B. Jimenez,University of the Philippines - Diliman,University of the Philippines - Diliman,local,2018
45,Ren Tristan dela Cruz,Francis George C. Cabarle,University of the Philippines - Diliman,University of the Philippines - Diliman,local,2018
45,Ren Tristan dela Cruz,Henry N. Adorna,University of the Philippines - Diliman,University of the Philippines - Diliman,local,2018
45,Ren Tristan dela Cruz,Kelvin C. Buño,University of the Philippines - Diliman,University of the Philippines - Diliman,local,2018
45,Ren Tristan dela Cruz,Nestine Hope S. Hernandez,University of the Philippines - Diliman,University of the Philippines - Diliman,local,2018
45,Ren Tristan dela Cruz,Jym Paul A. Carandang,University of the Philippines - Diliman,University of the Philippines - Diliman,local,2018
45,Zechariah B. Jimenez,Francis George C. Cabarle,University of the Philippines - Diliman,University of the Philippines - Diliman,local,2018
45,Zechariah B. Jimenez,Henry N. Adorna,University of the Philippines - Diliman,University of the Philippines - Diliman,local,2018
45,Zechariah B. Jimenez,Kelvin C. Buño,University of the Philippines - Diliman,University of the Philippines - Diliman,local,2018
45,Zechariah B. Jimenez,Nestine Hope S. Hernandez,University of the Philippines - Diliman,University of the Philippines - Diliman,local,2018
45,Zechariah B. Jimenez,Jym Paul A. Carandang,University of the Philippines - Diliman,University of the Philippines - Diliman,local,2018
45,Francis George C. Cabarle,Henry N. Adorna,University of the Philippines - Diliman,University of the Philippines - Diliman,local,2018
45,Francis George C. Cabarle,Kelvin C. Buño,University of the Philippines - Diliman,University of the Philippines - Diliman,local,2018
45,Francis George C. Cabarle,Nestine Hope S. Hernandez,University of the Philippines - Diliman,University of the Philippines - Diliman,local,2018
45,Francis George C. Cabarle,Jym Paul A. Carandang,University of the Philippines - Diliman,University of the Philippines - Diliman,local,2018
45,Henry N. Adorna,Kelvin C. Buño,University of the Philippines - Diliman,University of the Philippines - Diliman,local,2018
45,Henry N. Adorna,Nestine Hope S. Hernandez,University of the Philippines - Diliman,University of the Philippines - Diliman,local,2018
45,Henry N. Adorna,Jym Paul A. Carandang,University of the Philippines - Diliman,University of the Philippines - Diliman,local,2018
45,Kelvin C. Buño,Nestine Hope S. Hernandez,University of the Philippines - Diliman,University of the Philippines - Diliman,local,2018
45,Kelvin C. Buño,Jym Paul A. Carandang,University of the Philippines - Diliman,University of the Philippines - Diliman,local,2018
45,Nestine Hope S. Hernandez,Jym Paul A. Carandang,University of the Philippines - Diliman,University of the Philippines - Diliman,local,2018
46,John Eric Z. Sy,Macliing Gabriel Q. Aydinan,University of the Philippines - Diliman,University of the Philippines - Diliman,local,2018
46,John Eric Z. Sy,Prospero C. Naval Jr.,University of the Philippines - Diliman,University of the Philippines - Diliman,local,2018
46,Macliing Gabriel Q. Aydinan,Prospero C. Naval Jr.,University of the Philippines - Diliman,University of the Philippines - Diliman,local,2018
47,Nikko T. Borja,Ken V. Hosoya,De La Salle University,De La Salle University,local,2018
47,Nikko T. Borja,Jared Luke C. Pangilinan,De La Salle University,De La Salle University,local,2018
47,Nikko T. Borja,Mervin Stewart C. Uy,De La Salle University,De La Salle University,local,2018
47,Nikko T. Borja,Rafael A. Cabredo,De La Salle University,De La Salle University,local,2018
47,Ken V. Hosoya,Jared Luke C. Pangilinan,De La Salle University,De La Salle University,local,2018
47,Ken V. Hosoya,Mervin Stewart C. Uy,De La Salle University,De La Salle University,local,2018
47,Ken V. Hosoya,Rafael A. Cabredo,De La Salle University,De La Salle University,local,2018
47,Jared Luke C. Pangilinan,Mervin Stewart C. Uy,De La Salle University,De La Salle University,local,2018
47,Jared Luke C. Pangilinan,Rafael A. Cabredo,De La Salle University,De La Salle University,local,2018
47,Mervin Stewart C. Uy,Rafael A. Cabredo,De La Salle University,De La Salle University,local,2018
49,Alquine Roy F. Taculin,Kardi Teknomo,MSU - Iligan Institute of Technology,Ateneo de Manila University,local,2018
50,Baldip Bhuller,Fritz Kevin Flores,De La Salle University,De La Salle University,local,2018
50,Baldip Bhuller,Joshua Manto,De La Salle University,De La Salle University,local,2018
50,Baldip Bhuller,Arvin Medina,De La Salle University,De La Salle University,local,2018
50,Baldip Bhuller,Naomi Mendaros,De La Salle University,De La Salle University,local,2018
50,Fritz Kevin Flores,Joshua Manto,De La Salle University,De La Salle University,local,2018
50,Fritz Kevin Flores,Arvin Medina,De La Salle University,De La Salle University,local,2018
50,Fritz Kevin Flores,Naomi Mendaros,De La Salle University,De La Salle University,local,2018
50,Joshua Manto,Arvin Medina,De La Salle University,De La Salle University,local,2018
50,Joshua Manto,Naomi Mendaros,De La Salle University,De La Salle University,local,2018
50,Arvin Medina,Naomi Mendaros,De La Salle University,De La Salle University,local,2018
51,Jedidiah Caychingco,Gregory Cu,De La Salle University,De La Salle University,local,2018
52,C.D.S. Ergina,V.M.II Romero,University of the Philippines - Visayas Tacloban College,University of the Philippines - Visayas Tacloban College,local,2018
53,Samantha G. Mallari,Faith I. Ballesteros,Asia Pacific College,Asia Pacific College,local,2018
53,Samantha G. Mallari,Eva R. Samillano,Asia Pacific College,Asia Pacific College,local,2018
53,Samantha G. Mallari,Paulo Miguel S. Capuz,Asia Pacific College,Asia Pacific College,local,2018
53,Samantha G. Mallari,Lorena R. Rabago,Asia Pacific College,Asia Pacific College,local,2018
53,Samantha G. Mallari,Ernesto C. Boydon,Asia Pacific College,Asia Pacific College,local,2018
53,Faith I. Ballesteros,Eva R. Samillano,Asia Pacific College,Asia Pacific College,local,2018
53,Faith I. Ballesteros,Paulo Miguel S. Capuz,Asia Pacific College,Asia Pacific College,local,2018
53,Faith I. Ballesteros,Lorena R. Rabago,Asia Pacific College,Asia Pacific College,local,2018
53,Faith I. Ballesteros,Ernesto C. Boydon,Asia Pacific College,Asia Pacific College,local,2018
53,Eva R. Samillano,Paulo Miguel S. Capuz,Asia Pacific College,Asia Pacific College,local,2018
53,Eva R. Samillano,Lorena R. Rabago,Asia Pacific College,Asia Pacific College,local,2018
53,Eva R. Samillano,Ernesto C. Boydon,Asia Pacific College,Asia Pacific College,local,2018
53,Paulo Miguel S. Capuz,Lorena R. Rabago,Asia Pacific College,Asia Pacific College,local,2018
53,Paulo Miguel S. Capuz,Ernesto C. Boydon,Asia Pacific College,Asia Pacific College,local,2018
53,Lorena R. Rabago,Ernesto C. Boydon,Asia Pacific College,Asia Pacific College,local,2018
55,Danen Clint Ocfemi,John D. Ultra,University of the Philippines - Visayas Tacloban College,University of the Philippines - Visayas Tacloban College,local,2017
56,Vanlalhruaii Swansi,Judith J. Azcarraga,De La Salle University,De La Salle University,local,2017
57,Charl Amaba,Darren Josef M. Kho,University of San Carlos,University of San Carlos,local,2017
57,Charl Amaba,Angie M. Ceniza,University of San Carlos,University of San Carlos,local,2017
57,Charl Amaba,Mark Isaiah Quevedo,University of San Carlos,University of San Carlos,local,2017
57,Darren Josef M. Kho,Angie M. Ceniza,University of San Carlos,University of San Carlos,local,2017
57,Darren Josef M. Kho,Mark Isaiah Quevedo,University of San Carlos,University of San Carlos,local,2017
57,Angie M. Ceniza,Mark Isaiah Quevedo,University of San Carlos,University of San Carlos,local,2017
58,Heinrich Von P. Woogue,Kim Christian T. Cubillan,University of San Carlos,University of San Carlos,local,2017
58,Heinrich Von P. Woogue,Mary Jane G. Sabellano,University of San Carlos,University of San Carlos,local,2017
58,Kim Christian T. Cubillan,Mary Jane G. Sabellano,University of San Carlos,University of San Carlos,local,2017
59,Jose Emmanuel D. Torrijos,Adrian Cordero,Ateneo de Manila University,Ateneo de Manila University,local,2017
59,Jose Emmanuel D. Torrijos,Enrico Sison,Ateneo de Manila University,Ateneo de Manila University,local,2017
59,Jose Emmanuel D. Torrijos,Ma. Regina Estuar,Ateneo de Manila University,Ateneo de Manila University,local,2017
59,Adrian Cordero,Enrico Sison,Ateneo de Manila University,Ateneo de Manila University,local,2017
59,Adrian Cordero,Ma. Regina Estuar,Ateneo de Manila University,Ateneo de Manila University,local,2017
59,Enrico Sison,Ma. Regina Estuar,Ateneo de Manila University,Ateneo de Manila University,local,2017
60,Justin David Pineda,Joanna De Guzman,Asia Pacific College,Asia Pacific College,local,2017
60,Justin David Pineda,Adrian Tobias,Asia Pacific College,Asia Pacific College,local,2017
60,Justin David Pineda,Ruy Josel Verano,Asia Pacific College,Asia Pacific College,local,2017
60,Justin David Pineda,Jan Michael Bernardo,Asia Pacific College,Asia Pacific College,local,2017
60,Joanna De Guzman,Adrian Tobias,Asia Pacific College,Asia Pacific College,local,2017
