Id,Label,timeset,frequency,type,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,pageranks,componentnumber,Cluster,clustering,triangles,eigencentrality
Jong Pyo Park,Jong Pyo Park,,6,author1; author2,6,6,1,1,1,0,0.000243,33,105,1,15,0.001925
Lucille N. Dacaymat,Lucille N. Dacaymat,,1,; author2,1,1,1,1,1,0,0.000243,279,351,0,0,0.000208
Kurt Irvin M. Rojas,Kurt Irvin M. Rojas,,14,author1; author2,14,14,14,0.161735,0.201203,0,0.000206,0,0,1,91,0.019998
Cecilia J. Sabio,Cecilia J. Sabio,,3,author1; author2,3,3,1,1,1,0,0.000243,167,202,1,3,0.000743
Ethel Ong,Ethel Ong,,14,author1; author2,14,14,1,1,1,69,0.000667,28,62,0.241758,22,0.00396
Divina Medina Amalin,Divina Medina Amalin,,5,; author2,5,5,12,0.161368,0.180051,0,0.000194,0,13,1,10,0.002379
Alec Francisco C. Garces,Alec Francisco C. Garces,,1,author1,1,1,1,1,1,0,0.000243,280,388,0,0,0.000208
Marj Darrel Calabia,Marj Darrel Calabia,,3,author1; author2,3,3,14,0.130158,0.144921,0,0.000086,0,19,1,3,0.002071
Angelo Nikko Catapang,Angelo Nikko Catapang,,1,author1,1,1,2,0.545455,0.583333,0,0.000122,179,126,0,0,0.000297
Jean Wilmar Alberio,Jean Wilmar Alberio,,9,author1; author2,9,9,16,0.125435,0.150706,0,0.000232,0,3,1,36,0.006305
J. E. Que,J. E. Que,,7,author1; author2,7,7,14,0.171165,0.223739,0,0.000135,0,0,1,21,0.023541
Cecilia F. Genuino,Cecilia F. Genuino,,1,author1,1,1,2,0.666667,0.75,0,0.000187,281,280,0,0,0.000226
Eva R. Samillano,Eva R. Samillano,,5,author1; author2,5,5,1,1,1,0,0.000243,98,136,1,10,0.001472
Kervin John C Jocson,Kervin John C Jocson,,10,author1; author2,10,10,19,0.082765,0.104128,0,0.000208,0,6,1,45,0.00876
Willis Martin G. Co,Willis Martin G. Co,,1,; author2,1,1,1,1,1,0,0.000243,205,352,0,0,0.000208
Timothy Oliver D Danganan,Timothy Oliver D Danganan,,5,author1; author2,5,5,3,0.583333,0.666667,0,0.000211,81,64,1,10,0.001669
Jhon Rick Salvedia,Jhon Rick Salvedia,,6,author1; author2,6,6,1,1,1,0,0.000243,120,121,1,15,0.001925
Sheila R. Lingaya,Sheila R. Lingaya,,4,author1,2,4,14,0.132087,0.153727,0,0.000155,0,5,1,1,0.002775
Benedict Salazar Olgado,Benedict Salazar Olgado,,3,; author2,3,3,1,1,1,0,0.000243,192,211,1,3,0.000743
Racquel U. Tabornal,Racquel U. Tabornal,,2,author1,2,2,1,1,1,0,0.000243,80,275,1,1,0.000454
Jude B. Rola,Jude B. Rola,,3,author1,3,3,4,0.444444,0.5125,0,0.000201,61,38,1,3,0.000955
Hazel Deluso Laure Anastacia Ballesil Alvarez,Hazel Deluso Laure Anastacia Ballesil Alvarez,,6,author1; author2,6,6,18,0.089968,0.114252,0,0.000131,0,6,1,15,0.008501
Senrong Ainsley C. Chen,Senrong Ainsley C. Chen,,6,author1; author2,6,6,13,0.164667,0.202551,0,0.000153,0,0,1,15,0.008213
Angelo Benedict Ragunjan,Angelo Benedict Ragunjan,,1,author1,1,1,17,0.112148,0.127841,0,0.000053,0,14,0,0,0.000744
Charlene Louise Tormes,Charlene Louise Tormes,,4,author1; author2,4,4,4,0.465116,0.545833,0,0.00022,61,38,1,6,0.001309
Star Yanxin Gao,Star Yanxin Gao,,55,author1; author2,55,55,16,0.107929,0.136937,0,0.000254,0,7,1,1485,0.964798
Agnes S. Suguitan,Agnes S. Suguitan,,1,author1,1,1,1,1,1,0,0.000243,279,351,0,0,0.000208
Jhoirene B. Clemente,Jhoirene B. Clemente,,8,author1; author2,4,8,14,0.142798,0.159681,3207.447547,0.000242,0,19,0.333333,2,0.001882
Mary Claire Barela,Mary Claire Barela,,19,author1; author2,16,19,18,0.100162,0.122852,17429.066667,0.000489,0,12,0.525,63,0.00776
Bartolome T. Tanguilig III,Bartolome T. Tanguilig III,,2,; author2,2,2,15,0.128115,0.146277,0,0.000116,0,5,1,1,0.00113
Francheska B. Chioson,Francheska B. Chioson,,12,author1; author2,7,12,13,0.164679,0.202758,3.766667,0.000231,0,0,0.714286,15,0.009453
Drake Raphael Marcelo,Drake Raphael Marcelo,,5,; author2,5,5,15,0.116805,0.131406,0,0.000216,0,82,1,10,0.001706
Joseph Ordillano,Joseph Ordillano,,5,author1; author2,5,5,2,0.692308,0.777778,0,0.000236,282,83,1,10,0.001566
Cristy M. Bangug,Cristy M. Bangug,,2,author1,2,2,14,0.132116,0.154003,0,0.0001,0,5,1,1,0.002637
Ben Hur S. Pintor,Ben Hur S. Pintor,,7,author1; author2,4,7,19,0.095942,0.110978,0,0.000209,0,4,1,6,0.001661
Hans Jefferson L. Lim,Hans Jefferson L. Lim,,4,author1; author2,4,4,5,0.264516,0.341057,0,0.000218,133,29,1,6,0.001194
Kok-Lim Low,Kok-Lim Low,,2,; author2,2,2,17,0.104214,0.113579,0,0.000182,0,22,1,1,0.000495
Mark Phil B. Pacot,Mark Phil B. Pacot,,2,author1; author2,2,2,14,0.153592,0.175829,0,0.000122,0,34,1,1,0.001133
Dorien Ivan Navale,Dorien Ivan Navale,,5,; author2,5,5,13,0.150548,0.184291,0,0.000173,0,1,1,10,0.004454
Jericho P. Camba,Jericho P. Camba,,3,author1; author2,3,3,15,0.121194,0.139027,0,0.00017,0,20,1,3,0.001452
Tiffany Lyn O. Pandes,Tiffany Lyn O. Pandes,,2,author1,2,2,2,0.6,0.666667,0,0.000195,101,113,1,1,0.00053
Arnulfo P. Azcarraga,Arnulfo P. Azcarraga,,22,author1; author2,12,22,12,0.165991,0.190417,54415.766407,0.000781,0,13,0.166667,11,0.004403
Cheryll Ruth Reyes Soriano,Cheryll Ruth Reyes Soriano,,9,author1; author2,9,9,14,0.145955,0.170382,7242,0.000381,0,10,0.416667,15,0.004115
Maria Elisa B. Gerona,Maria Elisa B. Gerona,,2,; author2,2,2,16,0.109614,0.117571,0,0.000182,0,26,1,1,0.000482
Ecclesiastes G. Montaos,Ecclesiastes G. Montaos,,2,author1,2,2,3,0.4,0.440476,0,0.000088,135,24,1,1,0.000728
Byron Michael C Omboy,Byron Michael C Omboy,,2,; author2,2,2,15,0.143519,0.169265,0,0.000092,0,413,1,1,0.001288
Ryota C. Inomata,Ryota C. Inomata,,3,; author2,3,3,1,1,1,0,0.000243,100,196,1,3,0.000743
Jose Louie Mark Z. Ano,Jose Louie Mark Z. Ano,,3,author1,3,3,14,0.138445,0.151551,0,0.000166,0,13,1,3,0.001048
Mayzonee Ligaray,Mayzonee Ligaray,,6,author1; author2,6,6,1,1,1,0,0.000243,33,105,1,15,0.001925
Ronald John O. Cabatic,Ronald John O. Cabatic,,5,author1; author2,5,5,2,0.666667,0.75,0,0.000225,89,77,1,10,0.001595
Regino B. Medrano,Regino B. Medrano,,2,; author2,2,2,2,0.6,0.666667,0,0.000195,101,113,1,1,0.00053
Bruno Vasques Costa,Bruno Vasques Costa,,55,author1; author2,55,55,16,0.107929,0.136937,0,0.000254,0,7,1,1485,0.964798
Joash P. Rodriguez,Joash P. Rodriguez,,2,author1,2,2,19,0.090995,0.104175,0,0.000135,0,12,1,1,0.000563
Joan Baez U Dimatira,Joan Baez U Dimatira,,7,author1,7,7,14,0.169651,0.216917,0,0.000146,0,0,1,21,0.011961
Shubing Qiu,Shubing Qiu,,2,author1,2,2,1,1,1,0,0.000243,283,278,1,1,0.000454
Liriel Iris O. Daya,Liriel Iris O. Daya,,4,author1; author2,4,4,15,0.1168,0.131199,0,0.000191,0,82,1,6,0.001333
John R. Dela Cruz,John R. Dela Cruz,,12,author1; author2,9,12,14,0.170851,0.223574,75.807937,0.000217,0,0,0.777778,28,0.019595
Reich Rechner D. Canlas,Reich Rechner D. Canlas,,2,author1,2,2,14,0.169794,0.216641,0,0.000072,0,15,1,1,0.007993
Maricella D. Valdivia,Maricella D. Valdivia,,3,author1,3,3,4,0.35689,0.401815,0,0.00019,40,16,1,3,0.001741
Marco D. Macapagal,Marco D. Macapagal,,11,author1; author2,10,11,17,0.112372,0.131077,41,0.000243,0,14,0.688889,31,0.00454
V. H. Sampot,V. H. Sampot,,5,; author2,5,5,1,1,1,0,0.000243,8,128,1,10,0.001472
Julita Robles,Julita Robles,,4,; author2,4,4,16,0.122242,0.136507,0,0.000179,0,25,1,6,0.001405
Nicole Simon,Nicole Simon,,2,author1,2,2,4,0.355634,0.396865,0,0.000143,40,16,1,1,0.001435
April Dae C. Bation,April Dae C. Bation,,2,author1,2,2,2,0.75,0.833333,0,0.000239,138,201,1,1,0.000472
Alden Luc R. Hade,Alden Luc R. Hade,,4,author1; author2,4,4,2,0.583333,0.642857,0,0.000212,28,62,1,6,0.00131
Yunlong Pang,Yunlong Pang,,5,author1; author2,5,5,1,1,1,0,0.000243,87,134,1,10,0.001472
Renz Martin G. David,Renz Martin G. David,,1,author1,1,1,1,1,1,0,0.000243,284,353,0,0,0.000208
Cindy Verli Dayag,Cindy Verli Dayag,,5,author1; author2,5,5,2,0.608696,0.678571,0,0.000226,63,63,1,10,0.00169
Jennifer C.Dela Cruz,Jennifer C.Dela Cruz,,5,author1,5,5,14,0.142495,0.171576,0,0.000186,0,1,1,10,0.002748
Federico Ang,Federico Ang,,5,author1,5,5,12,0.174403,0.20113,0,0.000186,0,9,1,10,0.003264
Carmela S. Dizon,Carmela S. Dizon,,2,author1; author2,2,2,1,1,1,0,0.000243,283,278,1,1,0.000454
Judy Ann I. Alday,Judy Ann I. Alday,,3,author1; author2,3,3,14,0.13535,0.158511,0,0.000145,0,1,1,3,0.001804
Adrian Neil M Surposa,Adrian Neil M Surposa,,4,author1; author2,4,4,15,0.154239,0.185015,0,0.000164,0,15,1,6,0.00201
Aileen B. Caberos,Aileen B. Caberos,,26,author1; author2,12,26,2,0.636364,0.714286,93.5,0.000672,135,24,0.333333,22,0.004008
Benjamin Guzman,Benjamin Guzman,,4,author1; author2,4,4,4,0.379699,0.433168,0,0.000226,40,40,1,6,0.002429
Michael Kent R. Ybanez,Michael Kent R. Ybanez,,4,author1; author2,4,4,14,0.139331,0.162676,0,0.000177,0,2,1,6,0.002259
Allan C. Nerves,Allan C. Nerves,,5,; author2,5,5,2,0.666667,0.75,30,0.000529,162,78,0,0,0.001153
Richard Yao,Richard Yao,,4,author1; author2,4,4,15,0.152863,0.184222,0,0.000146,0,231,1,6,0.002166
Alberto S. Ba̱acia,Alberto S. Ba̱acia,,6,author1; author2,6,6,1,1,1,0,0.000243,75,108,1,15,0.001925
Pancho E. Ercilla,Pancho E. Ercilla,,4,author1; author2,4,4,1,1,1,0,0.000243,50,148,1,6,0.00108
Geromin S. Nepomuceno,Geromin S. Nepomuceno,,4,author1; author2,4,4,1,1,1,0,0.000243,10,144,1,6,0.00108
Richard Bryann L. Chua,Richard Bryann L. Chua,,4,; author2,4,4,15,0.115311,0.125474,4829,0.000336,0,19,0.166667,1,0.000944
Vincent Louie L. Maglambayan,Vincent Louie L. Maglambayan,,2,author1; author2,2,2,2,0.583333,0.642857,0,0.000159,186,100,1,1,0.000552
Winna Mia Victoria D. Buenviaje,Winna Mia Victoria D. Buenviaje,,2,author1,2,2,1,1,1,0,0.000243,78,246,1,1,0.000454
Carlene P.C. Pilar-Arceo,Carlene P.C. Pilar-Arceo,,2,author1; author2,2,2,14,0.139839,0.151925,0,0.000138,0,50,1,1,0.000574
Clarisa Albarillo,Clarisa Albarillo,,1,author1,1,1,15,0.123071,0.134447,0,0.000087,0,26,0,0,0.000434
Tony Y. T. Chan,Tony Y. T. Chan,,2,author1; author2,2,2,14,0.132051,0.153382,0,0.000114,0,5,1,1,0.002187
Richard Guinto,Richard Guinto,,5,author1; author2,5,5,17,0.101739,0.123901,0,0.00015,0,11,1,10,0.003131
Dawn Iris Calibo,Dawn Iris Calibo,,6,author1; author2,6,6,16,0.105071,0.116941,33657.5,0.000409,0,46,0.333333,5,0.001627
Warren Adam Sto. Tomas,Warren Adam Sto. Tomas,,5,; author2,5,5,2,0.692308,0.777778,0,0.000236,282,83,1,10,0.001566
Raymond R. Tan,Raymond R. Tan,,52,author1; author2,21,52,13,0.173426,0.212168,49155.070071,0.000859,0,0,0.247619,52,0.0181
Anthony Brian Dy,Anthony Brian Dy,,3,author1; author2,3,3,2,0.555556,0.6,0,0.0002,183,60,1,3,0.000994
Prabhmehar S. Chhabra,Prabhmehar S. Chhabra,,4,author1; author2,4,4,17,0.101696,0.123108,0,0.000134,0,11,1,6,0.002302
Bobby A. Eclarin,Bobby A. Eclarin,,2,author1,2,2,14,0.132116,0.154003,0,0.0001,0,5,1,1,0.002637
Joshua Renz A. Coballes,Joshua Renz A. Coballes,,8,author1; author2,8,8,15,0.142646,0.175068,0,0.000213,0,3,1,28,0.006629
Minchie Fel Lou Amongos,Minchie Fel Lou Amongos,,3,author1; author2,3,3,1,1,1,0,0.000243,178,206,1,3,0.000743
Lean Rimes Sarcilla,Lean Rimes Sarcilla,,10,author1; author2,10,10,16,0.126011,0.14592,0,0.000288,0,21,1,45,0.005801
Alfredo Mahar Francisco Amante Lagmay,Alfredo Mahar Francisco Amante Lagmay,,7,; author2,7,7,1,1,1,11,0.000414,214,101,0.47619,10,0.001906
Raymund E. Dilan,Raymund E. Dilan,,1,author1,1,1,15,0.123071,0.134447,0,0.000087,0,26,0,0,0.000434
Robert Martin C. Santiago,Robert Martin C. Santiago,,11,author1,8,11,14,0.178804,0.235815,347.855923,0.000185,0,0,0.642857,18,0.026681
Minie Rose C Lapinid,Minie Rose C Lapinid,,12,author1; author2,9,12,15,0.142992,0.168715,12022,0.000433,0,44,0.416667,15,0.003149
Jonathan Q. Puerto,Jonathan Q. Puerto,,13,author1; author2,10,13,14,0.167267,0.215092,160.36587,0.000235,0,0,0.733333,33,0.016793
Omar E. Benites-Alfaro,Omar E. Benites-Alfaro,,55,author1; author2,55,55,16,0.107929,0.136937,0,0.000254,0,7,1,1485,0.964798
Rovick P. Tarife,Rovick P. Tarife,,2,author1; author2,2,2,15,0.12264,0.13849,0,0.000094,0,47,1,1,0.000829
Paul Timothy Quezon,Paul Timothy Quezon,,2,author1,2,2,18,0.097443,0.110616,0,0.00013,0,12,1,1,0.000595
Richard Josiah C. Tan Ai,Richard Josiah C. Tan Ai,,1,author1,1,1,14,0.16958,0.215675,0,0.000049,0,421,0,0,0.007294
Chul Soo Ye,Chul Soo Ye,,2,author1; author2,2,2,1,1,1,0,0.000243,285,279,1,1,0.000454
Dylan Antonio S.J. Talabis,Dylan Antonio S.J. Talabis,,2,author1,2,2,14,0.143043,0.156048,0,0.00013,0,50,1,1,0.000613
Edgardo G. Macatulad,Edgardo G. Macatulad,,19,author1; author2,18,19,16,0.132058,0.160823,154548.505663,0.000367,0,4,0.300654,46,0.011868
Gregorio P. Ebron,Gregorio P. Ebron,,1,; author2,1,1,2,0.666667,0.75,0,0.000187,281,280,0,0,0.000226
Dustin Jones L. Guzman,Dustin Jones L. Guzman,,7,author1; author2,7,7,13,0.150689,0.185299,0,0.000205,0,1,1,21,0.006068
Adelson Chua,Adelson Chua,,11,author1; author2,11,11,19,0.082768,0.104335,2415,0.000254,0,6,0.818182,45,0.008964
Mark Joseph B. Enojas,Mark Joseph B. Enojas,,1,author1,1,1,2,0.545455,0.583333,0,0.000122,179,126,0,0,0.000297
Jessie S. Barrot,Jessie S. Barrot,,5,author1; author2,5,5,16,0.125136,0.141761,0,0.000195,0,44,1,10,0.001636
William Angelico Ching,William Angelico Ching,,5,author1,5,5,2,0.608696,0.678571,0,0.000223,42,61,1,10,0.001689
Kenny O. Yu,Kenny O. Yu,,2,author1,2,2,18,0.089854,0.111354,0,0.000065,0,6,1,1,0.00267
Maribelle Jualayba,Maribelle Jualayba,,3,author1,3,3,1,1,1,0,0.000243,267,232,1,3,0.000743
Matt Ervin G. Mital,Matt Ervin G. Mital,,2,author1,2,2,14,0.169591,0.215882,0,0.000085,0,340,1,1,0.007738
Wilben Christie R. Pagtaconan,Wilben Christie R. Pagtaconan,,1,author1,1,1,1,1,1,0,0.000243,17,308,0,0,0.000208
Edmar N. Franquera,Edmar N. Franquera,,3,author1,3,3,1,1,1,0,0.000243,1,224,1,3,0.000743
Jericho Joseph R. Pe̱a,Jericho Joseph R. Pe̱a,,5,author1; author2,5,5,2,0.727273,0.8125,0,0.000247,94,89,1,10,0.00154
G. Maniacup Michael Anthony,G. Maniacup Michael Anthony,,6,author1; author2,6,6,1,1,1,0,0.000243,105,114,1,15,0.001925
Royce Val C. Malalis,Royce Val C. Malalis,,3,author1; author2,3,3,14,0.159693,0.197856,0,0.000119,0,277,1,3,0.005199
Randy Joy M. Ventayen,Randy Joy M. Ventayen,,4,author1; author2,4,4,17,0.112179,0.126026,5580.333333,0.000259,0,27,0.5,3,0.001237
Clifford Austin Dy,Clifford Austin Dy,,4,author1; author2,4,4,13,0.157425,0.177485,0,0.000175,0,9,1,6,0.001658
Pamela Candice H Garcia,Pamela Candice H Garcia,,4,author1; author2,4,4,15,0.152141,0.185681,0,0.000142,0,215,1,6,0.002956
Paolo M. Ejercito,Paolo M. Ejercito,,6,author1,3,6,16,0.113721,0.125593,0,0.00024,0,18,1,3,0.001238
Sales Gamponia Aribe,Sales Gamponia Aribe,,8,author1,8,8,1,1,1,15,0.000402,233,87,0.464286,13,0.002241
Joseph Acosta,Joseph Acosta,,4,; author2,4,4,1,1,1,0,0.000243,187,163,1,6,0.00108
Jhoanne Catindig,Jhoanne Catindig,,1,author1,1,1,17,0.111321,0.122942,0,0.000075,0,44,0,0,0.000377
Pattrick Louie B. Lim,Pattrick Louie B. Lim,,3,author1; author2,3,3,4,0.35689,0.401815,0,0.00019,40,16,1,3,0.001741
Wendy Gail Sia,Wendy Gail Sia,,5,author1; author2,5,5,1,1,1,0,0.000243,11,129,1,10,0.001472
Christian Josef M. Leong,Christian Josef M. Leong,,4,author1; author2,4,4,15,0.139034,0.158604,0,0.000176,0,25,1,6,0.001469
Luke Clark M. Andrada,Luke Clark M. Andrada,,4,author1; author2,4,4,14,0.150764,0.179796,0,0.000144,0,1,1,6,0.002854
Potrinordid'dan Benasing,Potrinordid'dan Benasing,,5,author1; author2,5,5,2,0.54902,0.589286,0,0.000147,135,24,1,10,0.002219
Marisa M. Buctuanon,Marisa M. Buctuanon,,3,author1,3,3,1,1,1,0,0.000243,125,223,1,3,0.000743
P. Dadios Elmer,P. Dadios Elmer,,3,author1; author2,3,3,1,1,1,0,0.000243,181,210,1,3,0.000743
Von Louie R. Manguiam,Von Louie R. Manguiam,,7,; author2,6,7,1,1,1,3,0.000357,156,125,0.6,9,0.001636
Mary Jef Rose Orata,Mary Jef Rose Orata,,3,author1; author2,3,3,4,0.35689,0.401815,0,0.00019,40,16,1,3,0.001741
Noel R. Estoperez,Noel R. Estoperez,,3,; author2,3,3,1,1,1,0,0.000243,275,226,1,3,0.000743
Gabriel Alberto A. Sanchez,Gabriel Alberto A. Sanchez,,2,author1,2,2,15,0.123133,0.135275,0,0.000143,0,26,1,1,0.000838
Trisha Anne C Oleta,Trisha Anne C Oleta,,3,author1; author2,3,3,4,0.35689,0.401815,0,0.00019,40,16,1,3,0.001741
Mylene G. -Cayetano,Mylene G. -Cayetano,,14,author1; author2,7,14,15,0.141518,0.163853,0,0.000247,0,23,1,21,0.003023
Kayle C. San Juan,Kayle C. San Juan,,4,author1; author2,4,4,16,0.122267,0.136783,0,0.000161,0,25,1,6,0.001597
Daniel Stanley Tan,Daniel Stanley Tan,,19,author1; author2,16,19,12,0.162289,0.184885,42972.963745,0.000701,0,13,0.191667,23,0.005589
Catherine D. Siggaoat,Catherine D. Siggaoat,,2,; author2,2,2,2,0.75,0.833333,0,0.00017,209,216,1,1,0.000492
Cheng Kuo Tsai,Cheng Kuo Tsai,,9,author1; author2,9,9,14,0.163575,0.201833,0,0.000157,0,0,1,36,0.011285
Jasper Haven S. Briones,Jasper Haven S. Briones,,2,author1,2,2,17,0.11195,0.124733,0,0.000113,0,21,1,1,0.000848
Heidi M. MacAle,Heidi M. MacAle,,8,author1; author2,8,8,16,0.118402,0.134553,0,0.000222,0,8,1,28,0.004357
Keenan Dave Rivo,Keenan Dave Rivo,,4,author1; author2,4,4,16,0.125285,0.14843,0,0.000141,0,3,1,6,0.002701
Johnathan Richard Barrios,Johnathan Richard Barrios,,6,author1; author2,6,6,2,0.625,0.7,0,0.000227,12,55,1,15,0.002162
Rowell Ray Lim Shih,Rowell Ray Lim Shih,,4,author1; author2,4,4,1,1,1,0,0.000243,128,155,1,6,0.00108
Lorenzo Garcia,Lorenzo Garcia,,5,author1; author2,5,5,15,0.139106,0.159363,0,0.000188,0,25,1,10,0.002131
Timothy M. Amado,Timothy M. Amado,,10,author1; author2,7,10,13,0.167255,0.215187,63017.100294,0.000297,0,1,0.285714,6,0.007155
Barbara Sawicka,Barbara Sawicka,,10,author1; author2,10,10,2,0.916667,0.954545,0,0.000255,56,70,1,45,0.004544
Russel Avery Roco,Russel Avery Roco,,3,author1; author2,3,3,4,0.35689,0.401815,0,0.00019,40,16,1,3,0.001741
P. J.L. Eguia,P. J.L. Eguia,,3,author1; author2,3,3,15,0.14507,0.171789,0,0.000185,0,186,1,3,0.000984
Gran G. Sabandal,Gran G. Sabandal,,4,author1; author2,4,4,2,0.7,0.785714,0,0.000236,143,94,1,6,0.001145
Erwin P. Enriquez,Erwin P. Enriquez,,4,; author2,4,4,1,1,1,3,0.000345,38,147,0.5,3,0.000956
Gio P. Zaragosa,Gio P. Zaragosa,,37,author1; author2,12,37,17,0.113156,0.135594,2302.960924,0.000522,0,4,0.818182,54,0.007075
Anna Patricia Nicole B. Mesina,Anna Patricia Nicole B. Mesina,,3,author1; author2,3,3,15,0.145779,0.175783,0,0.000153,0,17,1,3,0.001791
Luis Eduardo Cabarle,Luis Eduardo Cabarle,,2,author1,2,2,14,0.176815,0.225378,0,0.000062,0,0,1,1,0.010875
Yasuyuki Sumi,Yasuyuki Sumi,,1,; author2,1,1,5,0.338843,0.39065,0,0.000078,133,49,0,0,0.000559
Therese Anne M. Rollan,Therese Anne M. Rollan,,22,author1; author2,15,22,17,0.117367,0.140629,1823.423817,0.000305,0,4,0.885714,93,0.013564
Irah Nathanne D. Tiburcio,Irah Nathanne D. Tiburcio,,7,author1; author2,7,7,2,0.684211,0.769231,0,0.000206,5,66,1,21,0.002711
John Patrick D. Sim,John Patrick D. Sim,,5,; author2,5,5,15,0.145797,0.176197,0,0.000208,0,17,1,10,0.002546
Justine Christopher Guinto,Justine Christopher Guinto,,4,author1; author2,4,4,15,0.139411,0.159786,0,0.000163,0,2,1,6,0.002264
Clariz Thea M Cacatian,Clariz Thea M Cacatian,,4,author1,4,4,15,0.123783,0.136243,0,0.000209,0,18,1,6,0.001704
Kaye Vergel,Kaye Vergel,,8,author1; author2,8,8,17,0.112362,0.130663,0,0.000175,0,14,1,28,0.004032
Rosemarie Theresa M. Cruz,Rosemarie Theresa M. Cruz,,3,author1,3,3,16,0.136969,0.164091,0,0.000117,0,3,1,3,0.001923
Roel M. Ocampo,Roel M. Ocampo,,28,author1; author2,18,28,16,0.112723,0.143856,91559.659285,0.000694,0,11,0.261438,40,0.00945
Samuel Gavinio,Samuel Gavinio,,5,author1; author2,5,5,16,0.136721,0.159391,0,0.000228,0,33,1,10,0.001927
Jeremy Christine Mercado,Jeremy Christine Mercado,,3,author1; author2,3,3,5,0.29023,0.335314,0,0.000194,40,40,1,3,0.001142
Steven A. Tobilla,Steven A. Tobilla,,5,; author2,5,5,13,0.150249,0.18236,0,0.000177,0,1,1,10,0.003771
Ivan Hur Y. Tacderas,Ivan Hur Y. Tacderas,,5,author1; author2,5,5,14,0.135396,0.159201,0,0.000198,0,92,1,10,0.00265
Erwin Jan L. San Pedro,Erwin Jan L. San Pedro,,3,author1; author2,3,3,17,0.098048,0.120971,0,0.00011,0,11,1,3,0.002471
Jose Rudolfo Tarrosa,Jose Rudolfo Tarrosa,,3,; author2,3,3,17,0.111992,0.125112,0,0.000171,0,67,1,3,0.001014
Romel S. Saysay,Romel S. Saysay,,3,author1; author2,3,3,14,0.159693,0.197856,0,0.000119,0,277,1,3,0.005199
Jason Disuanco,Jason Disuanco,,2,author1,2,2,18,0.089399,0.105304,0,0.000126,0,11,1,1,0.000644
April Jem H. Saccuan,April Jem H. Saccuan,,4,author1; author2,4,4,14,0.142143,0.162915,0,0.000163,0,2,1,6,0.002298
John Raymond Barajas,John Raymond Barajas,,5,author1,5,5,14,0.154239,0.176606,0,0.000152,0,50,1,10,0.002472
Roger Luis Uy,Roger Luis Uy,,35,author1; author2,28,35,13,0.181422,0.222476,102777.331057,0.001231,0,34,0.103175,39,0.011469
Jay Harold Reazol,Jay Harold Reazol,,5,author1; author2,5,5,1,1,1,0,0.000243,39,130,1,10,0.001472
Retno Widyaningrum,Retno Widyaningrum,,2,; author2,2,2,3,0.454545,0.511111,0,0.000135,52,57,1,1,0.000633
Wesley Kaiser Lim,Wesley Kaiser Lim,,10,author1; author2,10,10,18,0.089988,0.115218,0,0.000191,0,6,1,45,0.011762
Trizia Roby Ann C Roque,Trizia Roby Ann C Roque,,5,author1; author2,5,5,13,0.167953,0.196771,0,0.000179,0,9,1,10,0.003304
Jefferson A. Hora,Jefferson A. Hora,,21,author1; author2,13,21,3,0.595745,0.708333,16.666667,0.000545,135,24,0.435897,34,0.004789
Rong Fan,Rong Fan,,2,; author2,2,2,1,1,1,0,0.000243,283,278,1,1,0.000454
Mary Christine Tomas,Mary Christine Tomas,,3,; author2,3,3,1,1,1,0,0.000243,176,220,1,3,0.000743
Sandy C. Lauguico,Sandy C. Lauguico,,4,author1; author2,4,4,15,0.145463,0.173541,0,0.000184,0,176,1,6,0.001387
Matthew E. Cabalinan,Matthew E. Cabalinan,,4,author1; author2,4,4,14,0.159704,0.198063,0,0.000142,0,238,1,6,0.005652
Justin De Los Reyes,Justin De Los Reyes,,4,author1,4,4,16,0.112456,0.123026,0,0.000176,0,18,1,6,0.001608
Nelson B. Arboleda,Nelson B. Arboleda,,23,author1; author2,19,23,14,0.163919,0.205075,727.402721,0.000329,0,0,0.707602,121,0.023092
John Paulo A. Calinisan,John Paulo A. Calinisan,,4,author1; author2,4,4,2,0.7,0.785714,0,0.000236,261,102,1,6,0.001145
Verna Katrin J. Puebla,Verna Katrin J. Puebla,,4,author1; author2,4,4,3,0.5,0.547619,0,0.000131,135,24,1,6,0.00194
Leocarl M. Vinalon,Leocarl M. Vinalon,,4,author1; author2,3,4,2,0.528302,0.553571,8.5,0.000139,135,24,0.666667,2,0.001408
Hazel Caparas,Hazel Caparas,,2,author1; author2,2,2,4,0.322684,0.339109,100,0.000189,40,43,0,0,0.000568
Al Rey C. Villagracia,Al Rey C. Villagracia,,48,author1; author2,27,48,14,0.164019,0.206799,1529.260206,0.000642,0,0,0.447293,157,0.028154
Edmarlyn M. Porras,Edmarlyn M. Porras,,2,author1,2,2,14,0.132116,0.154003,0,0.0001,0,5,1,1,0.002637
Francesca Louise P. Bulanon,Francesca Louise P. Bulanon,,7,author1; author2,7,7,2,0.612903,0.684211,0,0.000253,107,41,1,21,0.002766
Halford M. Bermudez,Halford M. Bermudez,,1,author1,1,1,1,1,1,0,0.000243,170,318,0,0,0.000208
Jacob Martin S. Manguiat,Jacob Martin S. Manguiat,,7,author1; author2,7,7,15,0.142226,0.168759,0,0.000222,0,1,1,21,0.003178
Gladys Mae Apat,Gladys Mae Apat,,2,author1; author2,2,2,19,0.095934,0.110564,0,0.000103,0,4,1,1,0.000912
